TACD	TADes-DescAF
1	PROVINCE OF NEW BRUNSWICK
100	CITY OF/CITE D' EDMUNDSTON
101	TOWN OF/VILLE DE SAINT-LEONARD
102	GRAND FALLS/GRAND-SAULT
103	SAINT-FRANCOIS- DE-MADAWASKA
104	VILLAGE OF/VILLAGE DE CLAIR
105	VILLE DE SAINT-JACQUES
106	SAINT-BASILE
107	VILLAGE OF/VILLAGE DE RIVIERE-VERTE
108	SAINTE-ANNE-DE-MADAWASKA
109	VILLAGE DE VERRET
110	VILLAGE OF/VILLAGE DE ST-HILAIRE
111	VILLAGE OF/VILLAGE DE BAKER-BROOK
112	VILLAGE OF/VILLAGE DE LAC-BAKER
113	VILLAGE OF/VILLAGE DE'SAINT-ANDRE
114	L.S.D. OF/D.S.L. DE SAINT-FRANCOIS
115	L.S.D. OF/D.S.L. DE CLAIR
116	L.S.D. OF/D.S.L. DE LAC BAKER
117	L.S.D. OF/D.S.L. DE BAKER BROOK
118	L.S.D. OF/D.S.L. DE SAINT-HILAIRE
119	L.S.D. OF/D.S.L. DE MADAWASKA
120	L.S.D. OF/D.S.L. DE SAINT-JACQUES
121	L.S.D. OF/D.S.L. DE SAINT-JOSEPH
122	L.S.D. OF/D.S.L. DE SAINT-BASILE
123	L.S.D. OF/D.S.L. DE RIVIERE-VERTE
124	L.S.D. OF/D.S.L. DE SAINTE-ANNE
125	NOTRE-DAME-DE-LOURDES
126	L.S.D. OF/D.S.L. DE SAINT-LEONARD
127	L.S.D. OF/D.S.L. DE'SAINT-ANDRE
128	VILLAGE OF/VILLAGE DE DRUMMOND
129	L.S.D. OF/D.S.L. DE DRUMMOND
130	L.S.D. OF/D.S.L. DE DENMARK
131	L.S.D. OF/D.S.L. DE LORNE
132	GRAND FALLS LSD DSL GRAND-SAULT
133	L.S.D. OF/D.S.L. DE RILEY BROOK
134	ST. BASILE FIRST NATIONS
135	SIEGAS L.S.D.
136	SAINT-ANDRE
137	HAUT-MADAWASKA
140	Edmundston
141	Haut-Madawaska
142	Vallée-des-Rivières
143	Grand-Sault / Grand Falls
144	Saint-Quentin
149	NORTHWEST RD/DR DU NORD-OUEST
150	Woodstock
151	Lakeland Ridges
152	Hartland
153	Carleton North
154	Southern Victoria
155	Tobique Valley
158	MADAWASKA FIRST NATION
159	WEST VALLEY RD/DR DE LA VAL-DE-OUE
170	Fredericton
171	Nashwaak
172	Central York
173	Nackawic-Millville
174	Harvey
175	Hanwell
179	CAPITAL REG RD/DR DE LA REG CAP
180	Oromocto
181	Sunbury-York South
182	New Maryland
183	Tracy
184	Fredericton Junction
185	Arcadia
186	Grand Lake
200	TOWN OF/VILLE DE HARTLAND
201	TOWN OF/VILLE DE WOODSTOCK
202	VILLAGE OF/VILLAGE DE CENTREVILLE
203	TOWN OF/VILLE DE FLORENCEVILLE-BRISTOL
204	VILLAGE OF/VILLAGE DE BATH
205	VILLAGE OF/VILLAGE DE'BRISTOL
206	VILLAGE OF MEDUCTIC
207	L.S.D. OF/D.S.L. D'ABERDEEN
208	L.S.D. OF/D.S.L. DE BRIGHTON
209	L.S.D. OF/D.S.L. DE KENT
210	L.S.D. OF/D.S.L. DE NORTHAMPTON
211	L.S.D. OF/D.S.L. DE PEEL
212	L.S.D. OF/D.S.L. DE RICHMOND
213	L.S.D. OF/D.S.L. DE DEBEC
214	L.S.D. OF/D.S.L. DE SIMONDS
215	L.S.D. OF/D.S.L. DE WAKEFIELD
